congress,chamber,rollnumber,date,session,clerk_rollnumber,yea_count,nay_count,nominate_mid_1,nominate_mid_2,nominate_spread_1,nominate_spread_2,nominate_log_likelihood,bill_number,vote_result,vote_desc,vote_question,dtl_desc
114,Senate,306,2015-11-17,1,306,52,46,0.062,-0.094,-0.318,-0.916,-4.717,SJRES24,Joint Resolution Passed,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of a rule submitted by the Environmental Protection Agency relating to ""Carbon Pollution Emission Guidelines for Existing Stationary Sources: Electric Utility Generating Units"".",On the Joint Resolution,
114,Senate,307,2015-11-17,1,307,52,46,0.062,-0.094,-0.318,-0.916,-4.717,SJRES23,Joint Resolution Passed,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of a rule submitted by the Environmental Protection Agency relating to ""Standards of Performance for Greenhouse Gas Emissions from New, Modified, and Reconstructed Stationary Sources: Electric Utility Generating Units"".",On the Joint Resolution,
114,Senate,308,2015-11-18,1,308,91,6,0.713,0.056,0.324,0.464,-10.413,S1177,Cloture Motion Agreed to,An original bill to reauthorize the Elementary and Secondary Education Act of 1965 to ensure that every child achieves.,On the Cloture Motion,
114,Senate,309,2015-11-19,1,309,95,0,0.0,0.0,0.0,0.0,0.0,PN629,Nomination Confirmed,"Peter William Bodde, of Maryland, to be Ambassador to Libya",On the Nomination,
114,Senate,310,2015-11-30,1,310,79,7,0.665,0.009,0.299,0.165,-13.153,PN420,Nomination Confirmed,"Gayle Smith, of Ohio, to be Administrator of the United States Agency for International Development",On the Nomination,
114,Senate,311,2015-12-03,1,311,54,46,0.053,-0.088,-0.344,-0.41,-4.628,HR3762,Motion to Table Agreed to,To ensure that this Act does not increase the number of uninsured women or increase the number of unintended pregnancies by establishing a women's health care and clinic security and safety fund.,On the Motion to Table,
114,Senate,312,2015-12-03,1,312,56,44,-0.069,-0.099,-0.37,0.035,-6.355,HR3762,Amendment Rejected,To amend the Patient Protection and Affordable Care Act to ensure that individuals can keep their health insurance coverage.,On the Amendment,
114,Senate,313,2015-12-03,1,313,45,55,-0.047,-0.083,0.385,-0.276,-3.329,HR3762,Motion Rejected,To maintain the 100 percent FMAP for the Medicaid expansion population.,On the Motion,
114,Senate,314,2015-12-03,1,314,48,52,0.132,-0.105,0.357,0.624,-4.019,HR3762,Amendment Rejected,To improve the bill.,On the Amendment,
114,Senate,315,2015-12-03,1,315,46,54,0.036,-0.086,0.459,-0.169,-0.381,HR3762,Motion Rejected,"To amend the Internal Revenue Code of 1986 to establish a credit for married couples who are both employed and have young children, and for other purposes.",On the Motion,
114,Senate,316,2015-12-03,1,316,90,10,-0.383,-0.864,-0.058,-0.406,-37.197,HR3762,Amendment Agreed to,To strike the reinstatement of the tax on employee health insurance premiums and health plan benefits.,On the Amendment,
114,Senate,317,2015-12-03,1,317,47,52,0.163,-0.084,0.396,0.286,-3.903,HR3762,Motion Rejected,To improve mental health and substance use prevention and treatment.,On the Motion,
